transport_type,route_id,origin_station,destination_station,weather_condition,event_type,season,day_of_week,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,traffic_congestion_index,holiday,peak_hour,event_attendance_est,log_event_attendance,has_event,year,month,day_of_month,weekday_num,is_weekend,quarter,departure_hour,departure_minute,arrival_hour,arrival_minute,departure_minutes,arrival_minutes,scheduled_trip_duration_min,departure_hour_sin,departure_hour_cos
Bus,Route_12,Station_48,Station_34,Fog,Unknown / Missing Event,Spring,Sunday,3.2,60,2,13.5,81,0,0,0,0.0,0,2023,1,1,6,1,1,23,3,23,42,1383,1422,39,-0.24615329302899291,0.9692309097067544
Bus,Route_5,Station_5,Station_23,Storm,Unknown / Missing Event,Spring,Thursday,-0.0,80,29,14.7,62,0,1,10000,9.210440366976517,1,2023,1,5,3,0,1,15,19,16,3,919,963,44,-0.7632324697825289,-0.6461239796429639
Train,Route_19,Station_19,Station_14,Clear,Unknown / Missing Event,Winter,Saturday,25.3,52,43,7.2,47,0,0,0,0.0,0,2023,1,7,5,1,1,14,32,15,28,872,928,56,-0.6156614753256578,-0.7880107536067222
Bus,Route_19,Station_23,Station_2,Rain,Parade,Autumn,Thursday,1.0,47,12,6.6,57,0,0,0,0.0,0,2023,1,19,3,0,1,16,2,16,52,962,1012,50,-0.8703556959398996,-0.4924235601034672
Tram,Route_14,Station_18,Station_5,Fog,Festival,Spring,Monday,32.4,83,55,3.2,49,0,0,50000,10.819798284210286,1,2023,1,9,0,0,1,20,4,20,22,1204,1222,18,-0.8571673007021123,0.5150380749100542
Metro,Route_3,Station_28,Station_17,Storm,Concert,Summer,Monday,31.2,97,49,14.0,27,0,1,0,0.0,0,2023,1,2,0,0,1,10,34,11,19,634,679,45,0.36650122672429714,-0.9304175679820246
Train,Route_17,Station_41,Station_13,Rain,Festival,Spring,Monday,-3.6,82,15,12.8,30,0,0,0,0.0,0,2023,1,2,0,0,1,23,15,23,54,1395,1434,39,-0.19509032201612872,0.9807852804032303
Tram,Route_3,Station_6,Station_13,Cloudy,Parade,Winter,Sunday,27.7,91,19,5.1,24,0,1,0,0.0,0,2023,1,8,6,1,1,22,0,22,35,1320,1355,35,-0.5000000000000004,0.8660254037844384
Bus,Route_9,Station_21,Station_12,Cloudy,Unknown / Missing Event,Autumn,Friday,26.0,93,39,6.5,21,0,0,0,0.0,0,2023,1,6,4,0,1,8,2,8,52,482,532,50,0.8616291604415257,-0.5075383629607043
Train,Route_9,Station_44,Station_42,Snow,Festival,Winter,Sunday,0.0,89,44,15.4,12,0,1,0,0.0,0,2023,1,22,6,1,1,0,3,0,41,3,41,38,0.01308959557134444,0.999914327574007
Metro,Route_3,Station_17,Station_5,Snow,Concert,Summer,Thursday,7.8,45,42,11.6,24,0,0,0,0.0,0,2023,1,5,3,0,1,13,32,13,58,812,838,26,-0.39073112848927355,-0.9205048534524404
Train,Route_6,Station_48,Station_23,Clear,Unknown / Missing Event,Spring,Monday,-4.0,37,15,15.4,93,0,0,0,0.0,0,2023,1,9,0,0,1,1,18,1,36,78,96,18,0.3338068592337709,0.9426414910921784
Train,Route_20,Station_50,Station_28,Rain,Unknown / Missing Event,Autumn,Saturday,4.0,86,18,13.7,43,0,1,0,0.0,0,2023,1,21,5,1,1,21,0,21,35,1260,1295,35,-0.7071067811865477,0.7071067811865474
Train,Route_15,Station_21,Station_10,Cloudy,Sports,Autumn,Sunday,4.4,43,38,10.2,77,0,0,10000,9.210440366976517,1,2023,1,1,6,1,1,17,1,17,50,1021,1070,49,-0.9670459389139431,-0.25460194820552773
Tram,Route_3,Station_9,Station_22,Cloudy,Unknown / Missing Event,Autumn,Tuesday,8.8,94,45,0.8,45,0,0,0,0.0,0,2023,1,10,1,0,1,3,15,4,11,195,251,56,0.7518398074789773,0.659345815100069
Tram,Route_20,Station_9,Station_26,Fog,Unknown / Missing Event,Spring,Tuesday,31.7,56,8,12.9,85,1,0,2000,7.601402334583733,1,2023,1,10,1,0,1,1,1,1,46,61,106,45,0.2630312144579748,0.964787323828813
Bus,Route_6,Station_29,Station_34,Snow,Parade,Spring,Sunday,31.9,51,24,1.3,32,0,0,0,0.0,0,2023,1,15,6,1,1,13,18,14,14,798,854,56,-0.3338068592337705,-0.9426414910921785
Train,Route_15,Station_41,Station_33,Snow,Parade,Summer,Thursday,5.7,82,29,1.3,55,0,0,50000,10.819798284210286,1,2023,1,5,3,0,1,21,34,21,58,1294,1318,24,-0.594822786751341,0.8038568606172175
Bus,Route_11,Station_36,Station_38,Rain,Festival,Spring,Friday,33.9,90,46,15.0,31,0,0,0,0.0,0,2023,1,6,4,0,1,10,16,10,40,616,640,24,0.4383711467890773,-0.898794046299167
Train,Route_9,Station_41,Station_23,Storm,Concert,Summer,Wednesday,32.8,86,53,8.5,38,0,0,0,0.0,0,2023,1,18,2,0,1,17,18,17,59,1038,1079,41,-0.9832549075639545,-0.18223552549214778
Tram,Route_10,Station_3,Station_2,Clear,Unknown / Missing Event,Summer,Wednesday,0.0,92,17,6.4,98,0,0,0,0.0,0,2023,1,11,2,0,1,22,34,22,58,1354,1378,24,-0.36650122672429725,0.9304175679820246
Tram,Route_4,Station_43,Station_47,Fog,Unknown / Missing Event,Spring,Sunday,13.9,90,15,11.1,1,0,0,2000,7.601402334583733,1,2023,1,1,6,1,1,17,32,17,58,1052,1078,26,-0.9925461516413221,-0.12186934340514717
Tram,Route_2,Station_5,Station_46,Rain,Unknown / Missing Event,Autumn,Saturday,14.0,58,0,2.2,12,0,0,500,6.2166061010848646,1,2023,1,21,5,1,1,23,1,23,47,1381,1427,46,-0.2546019482055278,0.9670459389139431
Bus,Route_20,Station_3,Station_2,Rain,Unknown / Missing Event,Summer,Tuesday,4.8,88,35,13.1,44,0,1,0,0.0,0,2023,1,17,1,0,1,8,0,8,35,480,515,35,0.8660254037844387,-0.4999999999999998
Metro,Route_8,Station_32,Station_37,Rain,Unknown / Missing Event,Autumn,Wednesday,25.8,91,45,11.5,7,0,0,2000,7.601402334583733,1,2023,1,4,2,0,1,16,47,17,8,1007,1028,21,-0.9496991262018767,-0.3131638064837503
Bus,Route_17,Station_15,Station_8,Cloudy,Festival,Winter,Thursday,8.8,32,45,10.5,88,1,0,500,6.2166061010848646,1,2023,1,19,3,0,1,20,33,21,0,1233,1260,27,-0.785316930880745,0.619093949309834
Train,Route_7,Station_41,Station_29,Storm,Concert,Autumn,Sunday,15.7,43,58,17.1,6,0,0,0,0.0,0,2023,1,8,6,1,1,22,18,22,50,1338,1370,32,-0.4305110968082952,0.9025852843498606
Bus,Route_14,Station_4,Station_28,Rain,Unknown / Missing Event,Spring,Tuesday,31.0,91,20,14.5,96,0,0,0,0.0,0,2023,1,10,1,0,1,9,3,9,52,543,592,49,0.6977904598416802,-0.7163019434246543
Bus,Route_12,Station_16,Station_31,Storm,Sports,Autumn,Thursday,3.6,39,32,12.2,66,1,0,2000,7.601402334583733,1,2023,1,19,3,0,1,12,18,12,52,738,772,34,-0.07845909572784482,-0.996917333733128
Metro,Route_15,Station_44,Station_32,Clear,Unknown / Missing Event,Spring,Sunday,12.0,86,14,15.3,72,0,1,0,0.0,0,2023,1,8,6,1,1,17,31,17,56,1051,1076,25,-0.992004949679715,-0.12619896913583006
Train,Route_11,Station_21,Station_35,Cloudy,Unknown / Missing Event,Summer,Friday,11.9,79,45,2.5,97,1,0,2000,7.601402334583733,1,2023,1,20,4,0,1,14,49,15,44,889,944,55,-0.6723668074346678,-0.7402181274868322
Bus,Route_12,Station_43,Station_22,Storm,Concert,Summer,Wednesday,16.2,67,46,15.5,63,0,0,0,0.0,0,2023,1,4,2,0,1,5,30,6,27,330,387,57,0.9914448613738104,0.1305261922200517
Train,Route_7,Station_23,Station_3,Clear,Unknown / Missing Event,Winter,Monday,12.1,40,5,19.9,87,0,0,500,6.2166061010848646,1,2023,1,16,0,0,1,14,31,15,13,871,913,42,-0.6122172800344491,-0.7906895737438435
Metro,Route_11,Station_5,Station_2,Fog,Unknown / Missing Event,Summer,Wednesday,29.9,96,12,4.2,36,0,1,10000,9.210440366976517,1,2023,1,4,2,0,1,1,0,1,38,60,98,38,0.25881904510252074,0.9659258262890683
Bus,Route_2,Station_34,Station_22,Cloudy,Unknown / Missing Event,Summer,Friday,18.4,67,39,17.7,34,0,0,50000,10.819798284210286,1,2023,1,6,4,0,1,2,34,3,21,154,201,47,0.6225146366376196,0.7826081568524139
Metro,Route_9,Station_3,Station_47,Clear,Unknown / Missing Event,Spring,Monday,12.3,58,23,9.7,2,1,1,2000,7.601402334583733,1,2023,1,2,0,0,1,17,4,17,53,1024,1073,49,-0.9702957262759965,-0.24192189559966779
Tram,Route_6,Station_46,Station_47,Cloudy,Unknown / Missing Event,Summer,Monday,7.4,69,4,2.5,71,0,1,500,6.2166061010848646,1,2023,1,9,0,0,1,23,48,0,40,1428,40,52,-0.05233595624294437,0.9986295347545738
Train,Route_15,Station_31,Station_33,Snow,Festival,Winter,Monday,23.0,30,57,5.2,94,0,0,0,0.0,0,2023,1,16,0,0,1,15,31,16,19,931,979,48,-0.7960020025346223,-0.6052939880428941
Bus,Route_9,Station_19,Station_2,Cloudy,Unknown / Missing Event,Spring,Monday,11.6,34,0,15.5,72,0,0,0,0.0,0,2023,1,9,0,0,1,21,33,22,20,1293,1340,47,-0.5983246005706593,0.8012538126910604
Metro,Route_2,Station_9,Station_25,Snow,Protest,Winter,Wednesday,24.2,40,11,7.1,66,0,0,0,0.0,0,2023,1,4,2,0,1,20,32,21,10,1232,1270,38,-0.7880107536067218,0.6156614753256585
Train,Route_13,Station_46,Station_16,Clear,Unknown / Missing Event,Summer,Sunday,32.9,59,37,3.4,35,0,1,0,0.0,0,2023,1,15,6,1,1,20,31,21,24,1231,1284,53,-0.7906895737438435,0.612217280034449
Bus,Route_14,Station_23,Station_17,Rain,Unknown / Missing Event,Spring,Saturday,4.1,76,13,11.7,90,0,1,50000,10.819798284210286,1,2023,1,7,5,1,1,17,1,17,36,1021,1056,35,-0.9670459389139431,-0.25460194820552773
Metro,Route_13,Station_39,Station_5,Snow,Unknown / Missing Event,Autumn,Saturday,31.1,45,48,11.5,93,1,0,0,0.0,0,2023,1,21,5,1,1,21,45,22,25,1305,1345,40,-0.5555702330196022,0.8314696123025452
Tram,Route_13,Station_9,Station_18,Cloudy,Parade,Winter,Tuesday,31.1,72,48,6.7,36,0,1,2000,7.601402334583733,1,2023,1,3,1,0,1,4,4,4,33,244,273,29,0.8746197071393957,0.4848096202463371
Bus,Route_15,Station_3,Station_10,Fog,Parade,Summer,Sunday,20.5,37,56,19.3,87,0,0,2000,7.601402334583733,1,2023,1,8,6,1,1,19,46,20,15,1186,1215,29,-0.8949343616020253,0.44619781310980833
Bus,Route_11,Station_44,Station_14,Rain,Unknown / Missing Event,Spring,Wednesday,26.5,35,38,4.4,99,0,0,0,0.0,0,2023,1,4,2,0,1,13,17,13,50,797,830,33,-0.32969064526278713,-0.9440890203927843
Bus,Route_14,Station_37,Station_3,Cloudy,Concert,Winter,Sunday,10.8,63,23,7.9,87,0,0,50000,10.819798284210286,1,2023,1,1,6,1,1,14,15,15,2,855,902,47,-0.5555702330196023,-0.8314696123025452
Metro,Route_12,Station_22,Station_38,Fog,Protest,Winter,Wednesday,21.1,69,21,2.9,81,0,0,0,0.0,0,2023,1,4,2,0,1,1,46,2,24,106,144,38,0.44619781310980877,0.8949343616020251
Tram,Route_2,Station_44,Station_35,Rain,Concert,Winter,Tuesday,20.9,90,42,0.8,37,0,1,0,0.0,0,2023,1,3,1,0,1,9,34,10,2,574,602,28,0.5948227867513413,-0.8038568606172173
Metro,Route_4,Station_1,Station_36,Fog,Unknown / Missing Event,Summer,Friday,27.9,60,46,10.3,16,0,0,0,0.0,0,2023,1,13,4,0,1,12,30,13,15,750,795,45,-0.13052619222005132,-0.9914448613738105
Metro,Route_8,Station_29,Station_30,Rain,Unknown / Missing Event,Summer,Saturday,16.9,43,58,8.7,9,0,1,2000,7.601402334583733,1,2023,1,7,5,1,1,2,3,2,38,123,158,35,0.511293086077052,0.8594064115014527
Train,Route_3,Station_16,Station_9,Fog,Festival,Spring,Wednesday,24.0,43,49,9.6,18,0,0,0,0.0,0,2023,1,4,2,0,1,9,0,9,38,540,578,38,0.7071067811865476,-0.7071067811865475
Bus,Route_3,Station_13,Station_25,Rain,Unknown / Missing Event,Spring,Tuesday,-2.3,53,30,6.0,85,0,0,10000,9.210440366976517,1,2023,1,17,1,0,1,2,48,3,31,168,211,43,0.6691306063588582,0.7431448254773942
Bus,Route_18,Station_48,Station_8,Cloudy,Unknown / Missing Event,Autumn,Monday,23.4,51,49,15.8,76,0,0,0,0.0,0,2023,1,9,0,0,1,17,47,18,14,1067,1094,27,-0.9983916705573488,-0.056692787563377714
Tram,Route_20,Station_38,Station_47,Fog,Unknown / Missing Event,Summer,Monday,21.0,99,20,10.9,36,0,0,10000,9.210440366976517,1,2023,1,9,0,0,1,23,1,23,48,1381,1428,47,-0.2546019482055278,0.9670459389139431
Tram,Route_15,Station_22,Station_38,Cloudy,Unknown / Missing Event,Spring,Wednesday,12.3,82,23,9.9,7,0,1,0,0.0,0,2023,1,11,2,0,1,2,34,3,3,154,183,29,0.6225146366376196,0.7826081568524139
Metro,Route_4,Station_7,Station_22,Clear,Unknown / Missing Event,Winter,Saturday,5.3,87,0,16.8,54,1,0,0,0.0,0,2023,1,21,5,1,1,4,4,4,41,244,281,37,0.8746197071393957,0.4848096202463371
Metro,Route_2,Station_26,Station_20,Snow,Unknown / Missing Event,Autumn,Thursday,30.0,83,51,10.0,57,0,0,2000,7.601402334583733,1,2023,1,5,3,0,1,18,1,18,50,1081,1130,49,-0.9999904807207345,0.004363309284747004
Tram,Route_13,Station_37,Station_43,Fog,Sports,Spring,Tuesday,33.4,39,9,4.3,40,0,0,0,0.0,0,2023,1,10,1,0,1,3,3,3,40,183,220,37,0.7163019434246541,0.6977904598416802
Bus,Route_14,Station_38,Station_36,Snow,Festival,Autumn,Saturday,4.7,52,21,11.1,73,0,0,0,0.0,0,2023,1,14,5,1,1,20,4,20,25,1204,1225,21,-0.8571673007021123,0.5150380749100542
Tram,Route_10,Station_6,Station_29,Fog,Unknown / Missing Event,Autumn,Friday,30.0,56,29,14.1,71,0,1,500,6.2166061010848646,1,2023,1,13,4,0,1,0,31,1,5,31,65,34,0.134850930273723,0.9908658973868822
Metro,Route_13,Station_37,Station_36,Snow,Parade,Summer,Wednesday,25.3,30,36,17.8,8,0,0,10000,9.210440366976517,1,2023,1,4,2,0,1,21,33,22,14,1293,1334,41,-0.5983246005706593,0.8012538126910604
Metro,Route_13,Station_13,Station_42,Cloudy,Festival,Winter,Tuesday,28.5,62,49,8.4,96,0,0,50000,10.819798284210286,1,2023,1,3,1,0,1,8,45,9,24,525,564,39,0.7518398074789774,-0.6593458151000688
Metro,Route_4,Station_7,Station_26,Rain,Unknown / Missing Event,Spring,Thursday,21.8,86,5,4.1,62,0,0,0,0.0,0,2023,1,5,3,0,1,17,19,17,44,1039,1064,25,-0.9840406976462908,-0.17794354547384236
Metro,Route_12,Station_1,Station_33,Snow,Festival,Summer,Friday,30.4,61,34,16.7,92,0,0,0,0.0,0,2023,1,20,4,0,1,12,32,13,12,752,792,40,-0.13917310096006552,-0.9902680687415703
Metro,Route_19,Station_45,Station_26,Storm,Sports,Autumn,Tuesday,-3.1,72,37,8.6,25,0,0,0,0.0,0,2023,1,17,1,0,1,20,3,20,37,1203,1237,34,-0.8594064115014526,0.5112930860770523
Train,Route_8,Station_10,Station_29,Clear,Unknown / Missing Event,Summer,Tuesday,31.0,38,38,12.6,30,0,0,0,0.0,0,2023,1,17,1,0,1,11,46,12,35,706,755,49,0.06104853953485719,-0.9981347984218669
Tram,Route_6,Station_37,Station_1,Snow,Festival,Winter,Sunday,-0.8,74,18,11.8,8,0,1,50000,10.819798284210286,1,2023,1,15,6,1,1,18,18,18,38,1098,1118,20,-0.9969173337331281,0.07845909572784432
Bus,Route_7,Station_13,Station_20,Fog,Sports,Winter,Sunday,22.7,98,28,9.9,72,0,1,0,0.0,0,2023,1,1,6,1,1,12,47,13,5,767,785,18,-0.20364175114017746,-0.9790454724845838
Tram,Route_3,Station_35,Station_23,Cloudy,Sports,Winter,Thursday,34.3,88,28,18.6,85,0,0,0,0.0,0,2023,1,5,3,0,1,6,49,7,27,409,447,38,0.9772311064626789,-0.21217767215644623
Metro,Route_14,Station_28,Station_19,Cloudy,Sports,Spring,Tuesday,10.2,40,51,14.0,76,0,1,0,0.0,0,2023,1,3,1,0,1,8,32,9,10,512,550,38,0.788010753606722,-0.6156614753256583
Tram,Route_20,Station_16,Station_44,Cloudy,Unknown / Missing Event,Spring,Saturday,9.6,48,41,3.5,99,0,1,0,0.0,0,2023,1,21,5,1,1,19,30,20,18,1170,1218,48,-0.9238795325112866,0.38268343236509
Bus,Route_14,Station_33,Station_10,Fog,Unknown / Missing Event,Summer,Sunday,0.8,53,29,1.9,76,0,0,0,0.0,0,2023,1,8,6,1,1,3,4,3,20,184,200,16,0.7193398003386511,0.6946583704589974
Tram,Route_6,Station_49,Station_38,Clear,Unknown / Missing Event,Winter,Friday,35.0,97,6,19.5,57,0,0,0,0.0,0,2023,1,6,4,0,1,15,49,16,30,949,990,41,-0.8410390129643924,-0.540974471367994
Tram,Route_2,Station_5,Station_18,Storm,Unknown / Missing Event,Autumn,Saturday,27.4,98,44,2.8,66,0,1,500,6.2166061010848646,1,2023,1,14,5,1,1,18,4,18,20,1084,1100,16,-0.9998476951563913,0.01745240643728313
Tram,Route_2,Station_39,Station_13,Rain,Sports,Spring,Thursday,30.3,58,7,9.7,62,0,0,10000,9.210440366976517,1,2023,1,12,3,0,1,21,30,22,20,1290,1340,50,-0.608761429008721,0.7933533402912349
